rank,name,season,POS,GP,MIN,PTS,FGM,FGA,FG%,3_PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
1,Allen IversonPHI,2001-2002,SG,60,43.7,31.4,11.1,27.8,39.8,1.3,4.5,29.1,7.9,9.8,81.2,4.5,5.5,2.8,0.2,4,4,1,0
2,Shaquille O'NealLAL,2001-2002,C,67,36.1,27.2,10.6,18.3,57.9,0,0,0,5.9,10.7,55.5,10.7,3,0.6,2,2.6,40,0,0
3,Paul PierceBOS,2001-2002,SF,82,40.3,26.1,8.6,19.5,44.2,2.6,6.3,40.4,6.3,7.8,80.9,6.9,3.2,1.9,1,2.9,17,0,0
4,Tracy McGradyORL,2001-2002,SG,76,38.3,25.6,9.4,20.9,45.1,1.4,3.7,36.4,5.5,7.3,74.8,7.9,5.3,1.6,1,2.5,24,1,0
5,Tim DuncanSA,2001-2002,C,82,40.6,25.5,9.3,18.3,50.8,0,0.1,10,6.8,8.5,79.9,12.7,3.7,0.7,2.5,3.2,67,0,0
6,Kobe BryantLAL,2001-2002,SF,80,38.3,25.2,9.4,20,46.9,0.4,1.7,25,6.1,7.4,82.9,5.5,5.5,1.5,0.4,2.8,11,1,0
7,Vince CarterTOR,2001-2002,G,60,39.8,24.7,9.3,21.8,42.8,2,5.2,38.7,4.1,5.1,79.8,5.2,4,1.6,0.7,2.6,5,0,0
8,Chris WebberSAC,2001-2002,C,54,38.4,24.5,9.9,19.9,49.5,0.1,0.4,26.3,4.7,6.3,74.9,10.1,4.8,1.7,1.4,2.9,31,0,0
9,Dirk NowitzkiDAL,2001-2002,F,76,38,23.4,7.9,16.6,47.7,1.8,4.6,39.7,5.8,6.8,85.3,9.9,2.4,1.1,1,1.9,38,0,0
10,Michael JordanWSH,2001-2002,G,60,34.9,22.9,9.2,22.1,41.6,0.2,0.9,18.9,4.4,5.6,79,5.7,5.2,1.4,0.4,2.7,8,0,0
11,Karl MaloneUTAH,2001-2002,PF,80,38,22.4,7.9,17.5,45.4,0.1,0.3,36,6.4,8,79.7,8.6,4.3,1.9,0.7,3.3,28,0,0
12,Antoine WalkerBOS,2001-2002,PF,81,42,22.1,8.2,20.9,39.4,2.7,8,34.4,3,4,74.1,8.8,5,1.5,0.5,3.1,29,2,0
13,Gary PaytonSEA,2001-2002,PG,82,40.3,22.1,9,19.2,46.7,0.9,2.9,31.4,3.3,4.1,79.7,4.8,9,1.6,0.3,2.5,32,2,0
14,Ray AllenMIL,2001-2002,SG,69,36.6,21.8,7.7,16.6,46.2,3.3,7.7,43.4,3.1,3.6,87.3,4.5,3.9,1.3,0.3,2.3,3,0,0
15,Cuttino MobleyHOU,2001-2002,SG,74,42.1,21.7,8,18.4,43.8,2,5.1,39.5,3.6,4.2,85,4.1,2.5,1.5,0.5,2.4,1,0,0
16,Steve FrancisHOU,2001-2002,PG,57,41.1,21.6,7.4,17.7,41.7,1.2,3.7,32.4,5.7,7.4,77.3,7,6.4,1.2,0.4,3.9,14,2,0
17,Jamal MashburnCHA,2001-2002,SF,40,40,21.5,7.6,18.6,40.7,1,2.8,36.6,5.3,6,87.6,6.1,4.3,1.1,0.2,2.8,4,0,0
18,Jerry StackhouseDET,2001-2002,SF,76,35.3,21.4,6.9,17.4,39.7,1.1,3.9,28.7,6.5,7.6,85.8,4.1,5.3,1,0.5,3.5,5,0,0
19,Shareef Abdur-RahimATL,2001-2002,PF,77,38.7,21.2,7.8,16.8,46.1,0.3,0.9,30,5.4,6.8,80.1,9,3.1,1.3,1.1,3.2,32,0,0
20,Peja StojakovicSAC,2001-2002,SF,71,37.3,21.2,7.7,15.9,48.4,1.8,4.4,41.6,4,4.5,87.6,5.3,2.5,1.1,0.2,2,2,0,0
21,Kevin GarnettMIN,2001-2002,PF,81,39.2,21.2,8.1,17.3,47,0.5,1.4,31.9,4.4,5.5,80.1,12.1,5.2,1.2,1.6,2.8,59,0,0
22,Glenn RobinsonMIL,2001-2002,SF,66,35.5,20.7,8.1,17.4,46.7,0.9,2.7,32.6,3.6,4.3,83.7,6.2,2.5,1.5,0.6,2.6,13,0,0
23,Michael FinleyDAL,2001-2002,SG,69,39.9,20.6,8.2,17.8,46.3,1.1,3.2,33.9,3,3.6,83.7,5.2,3.3,0.9,0.4,1.7,5,0,0
24,Jalen RoseIND/CHI,2001-2002,SG,83,38,20.4,8,17.6,45.5,1.1,3,36.2,3.4,4,83.9,4.5,4.3,0.9,0.5,2.4,5,0,0
25,Stephon MarburyPHX,2001-2002,PG,82,38.9,20.4,7.6,17.2,44.2,0.9,3,28.6,4.3,5.5,78.1,3.2,8.1,0.9,0.2,3.5,29,0,0
26,Allan HoustonNY,2001-2002,SG,77,37.8,20.4,7.4,16.9,43.7,1.8,4.5,39.3,3.8,4.4,87,3.3,2.5,0.7,0.1,2.2,1,0,0
27,Richard HamiltonWSH,2001-2002,SG,63,35,20,7.5,17.2,43.5,0.3,0.7,38.1,4.8,5.3,89,3.4,2.7,0.6,0.2,2.1,0,0,0
28,Antawn JamisonGS,2001-2002,PF,82,37,19.7,7.5,16.8,44.7,0.8,2.6,32.4,3.9,5.4,73.4,6.8,2,0.9,0.5,2,16,0,0
29,Sam CassellMIL,2001-2002,PG,74,35.2,19.7,7.5,16.2,46.3,1,2.8,34.8,3.8,4.4,86,4.2,6.7,1.2,0.2,2.4,11,0,0
30,Latrell SprewellNY,2001-2002,SG,81,41.1,19.4,7.1,17.5,40.4,1.8,5,36,3.5,4.3,82.1,3.7,3.9,1.2,0.2,2.8,0,0,0
31,Jason TerryATL,2001-2002,G,78,38,19.3,6.7,15.6,43,2.2,5.7,38.7,3.6,4.4,83.5,3.5,5.7,1.8,0.2,2.3,8,0,0
32,Rasheed WallacePOR,2001-2002,PF,79,37.5,19.3,7.6,16.3,46.9,1.4,4,36,2.5,3.5,73.4,8.2,1.9,1.3,1.3,1.7,25,0,0
33,Shawn MarionPHX,2001-2002,SG,81,38.4,19.1,8.1,17.2,46.9,0.6,1.5,39.3,2.4,2.8,84.5,9.9,2,1.8,1.1,1.8,43,0,0
34,Jermaine O'NealIND,2001-2002,C,72,37.6,19,7.5,15.7,47.9,0,0.2,7.1,3.9,5.7,68.8,10.5,1.6,0.6,2.3,2.4,39,0,0
35,Wally SzczerbiakMIN,2001-2002,SG,82,38,18.7,7.4,14.6,50.7,1.1,2.3,45.5,2.8,3.3,83.1,4.8,3.1,0.8,0.3,2.2,5,0,0
36,Nick Van ExelDAL/DEN,2001-2002,PG,72,34.7,18.4,7,17,40.9,1.7,4.9,34,2.8,3.5,80.1,3.5,6.6,0.6,0.2,2.2,11,0,0
37,Eddie JonesMIA,2001-2002,SG,81,39,18.3,6.4,14.8,43.2,1.8,4.7,39,3.7,4.4,83.7,4.7,3.2,1.4,1,1.8,2,0,0
38,Elton BrandLAC,2001-2002,PF,80,37.8,18.2,6.7,12.6,52.7,0,0,0,4.9,6.6,74.2,11.6,2.4,1,2,2.2,55,0,0
39,Baron DavisCHA,2001-2002,PG,82,40.5,18.1,6.8,16.4,41.7,2.1,5.8,35.6,2.4,4.1,58,4.3,8.5,2.1,0.6,3,29,1,0
40,Steve NashDAL,2001-2002,PG,82,34.6,17.9,6.4,13.3,48.3,1.9,4.2,45.5,3.2,3.6,88.7,3.1,7.7,0.6,0,2.8,20,0,0
41,Pau GasolMEM,2001-2002,PF,82,36.7,17.6,6.7,13,51.8,0,0.1,20,4.1,5.8,70.9,8.9,2.7,0.5,2.1,2.7,35,0,0
42,Bonzi WellsPOR,2001-2002,SG,74,31.7,17,6.6,14,46.9,0.9,2.3,38.4,2.9,3.9,74.1,6,2.8,1.5,0.3,2.6,7,0,0
43,Rashard LewisSEA,2001-2002,PF,71,36.4,16.8,6.4,13.7,46.8,1.7,4.5,38.9,2.3,2.8,81,7,1.7,1.5,0.6,1.4,16,0,0
44,Grant HillORL,2001-2002,SF,14,36.6,16.8,5.9,13.9,42.6,0,0.1,0,4.9,5.7,86.3,8.9,4.6,0.6,0.3,2.6,5,0,0
45,Lamond MurrayCLE,2001-2002,SF,71,32.6,16.6,6.1,13.9,43.6,1.4,3.4,42.4,3,3.7,81.7,5.2,2.2,1,0.6,2,7,0,0
46,Reggie MillerIND,2001-2002,SG,79,36.6,16.5,5.2,11.6,45.3,2.3,5.6,40.6,3.7,4.1,91.1,2.8,3.2,1.1,0.1,1.5,0,0,0
47,Andre MillerCLE,2001-2002,PG,81,37.3,16.5,5.9,12.9,45.4,0.3,1.1,25.3,4.5,5.5,81.7,4.7,10.9,1.6,0.4,3,43,3,0
48,Alonzo MourningMIA,2001-2002,C,75,32.7,15.7,6,11.5,51.6,0,0,33.3,3.8,5.7,65.7,8.4,1.2,0.4,2.5,2.4,26,0,0
49,Mike MillerORL,2001-2002,SG,63,33.7,15.2,5.6,12.7,43.8,1.8,4.8,38.3,2.2,2.9,76.2,4.3,3.1,0.7,0.4,1.7,3,0,0
50,Derrick ColemanPHI,2001-2002,PF,58,35.9,15.1,5.7,12.7,45,0.5,1.4,33.7,3.2,3.9,81.5,8.8,1.7,0.7,0.9,2.1,21,0,0
51,Wesley PersonCLE,2001-2002,SF,78,35.8,15.1,6,12.1,49.5,1.8,4.1,44.4,1.3,1.6,79.8,3.8,2.2,1,0.5,0.9,2,0,0
52,Kenyon MartinNJ,2001-2002,PF,73,34.3,14.9,6.1,13.2,46.3,0.2,0.9,22.4,2.5,3.7,67.8,5.3,2.6,1.2,1.7,2.4,2,0,0
53,Donyell MarshallUTAH,2001-2002,PF,58,30.2,14.8,5.9,11.4,51.9,0.2,0.7,31,2.8,3.9,70.8,7.6,1.7,0.9,1.2,2.1,12,0,0
54,Keith Van HornNJ,2001-2002,PF,81,30.4,14.8,5.8,13.4,43.3,1.2,3.6,34.5,1.9,2.4,80,7.5,2,0.8,0.5,1.8,18,0,0
