rank,name,season,POS,GP,MIN,PTS,FGM,FGA,FG%,3_PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
1,Kobe BryantLAL,2005-2006,SF,80,41,35.4,12.2,27.2,45,2.3,6.5,34.7,8.7,10.2,85,5.3,4.5,1.8,0.4,3.1,4,0,28.11
2,Allen IversonPHI,2005-2006,SG,72,43.1,33,11.3,25.3,44.7,1,3.1,32.3,9.4,11.5,81.4,3.2,7.4,1.9,0.1,3.4,18,0,26.02
3,LeBron JamesCLE,2005-2006,SF,79,42.5,31.4,11.1,23.1,48,1.6,4.8,33.5,7.6,10.3,73.8,7,6.6,1.6,0.8,3.3,21,5,28.17
4,Gilbert ArenasWSH,2005-2006,PG,80,42.3,29.3,9.3,20.9,44.7,2.5,6.8,36.9,8.2,10,82,3.5,6.1,2,0.3,3.7,9,0,23.87
5,Dwyane WadeMIA,2005-2006,G,75,38.6,27.2,9.3,18.8,49.5,0.2,1,17.1,8.4,10.7,78.3,5.7,6.7,1.9,0.8,3.6,16,2,27.68
6,Paul PierceBOS,2005-2006,SF,79,39,26.8,8.7,18.5,47.1,1.4,4,35.4,7.9,10.3,77.2,6.7,4.7,1.4,0.4,3.5,17,1,23.71
7,Dirk NowitzkiDAL,2005-2006,F,81,38.1,26.6,9.3,19.3,48,1.4,3.3,40.6,6.7,7.4,90.1,9,2.8,0.7,1,1.9,35,0,28.2
8,Carmelo AnthonyDEN,2005-2006,PF,80,36.8,26.5,9.5,19.7,48.1,0.5,1.9,24.3,7.2,8.9,80.8,4.9,2.7,1.1,0.5,2.7,6,0,22.1
9,Michael ReddMIL,2005-2006,SG,80,39.1,25.4,8.5,19,45,2,5.2,39.5,6.3,7.1,87.7,4.3,2.9,1.2,0.1,2.1,0,0,21.34
10,Ray AllenSEA,2005-2006,SG,78,38.7,25.1,8.7,19.2,45.4,3.4,8.4,41.2,4.2,4.6,90.3,4.3,3.7,1.3,0.2,2.4,1,0,22.28
11,Elton BrandLAC,2005-2006,PF,79,39.2,24.7,9.6,18.2,52.7,0,0,33.3,5.6,7.2,77.5,10,2.6,1,2.5,2.2,45,0,26.67
12,Tracy McGradyHOU,2005-2006,SG,47,37.1,24.4,8.7,21.5,40.6,1.6,5,31.2,5.4,7.2,74.7,6.5,4.8,1.3,0.9,2.6,6,0,22.03
13,Vince CarterNJ,2005-2006,G,79,36.8,24.2,8.3,19.2,43,1.6,4.6,34.1,6.1,7.6,79.9,5.8,4.3,1.2,0.7,2.7,8,1,21.68
14,Jason RichardsonGS,2005-2006,SG,75,38.4,23.2,8.5,19.2,44.6,2.4,6.4,38.4,3.7,5.5,67.3,5.8,3.1,1.3,0.5,2.2,5,0,19.28
15,Chris BoshTOR,2005-2006,PF,70,39.3,22.5,7.8,15.5,50.5,0,0.2,0,6.8,8.3,81.6,9.2,2.6,0.7,1.1,2.2,32,0,23.23
16,Yao MingHOU,2005-2006,C,57,34.2,22.3,8.2,15.8,51.9,0,0,0,5.9,6.9,85.3,10.2,1.5,0.5,1.6,2.6,34,0,25.78
17,Shawn MarionPHX,2005-2006,SG,81,40.3,21.8,8.8,16.9,52.5,1.2,3.6,33.1,3,3.7,80.9,11.8,1.8,2,1.7,1.5,60,0,23.66
18,Kevin GarnettMIN,2005-2006,PF,76,38.9,21.8,8.2,15.7,52.6,0.1,0.4,26.7,5.2,6.4,81,12.7,4.1,1.4,1.4,2.4,62,0,26.88
19,Mike BibbySAC,2005-2006,PG,82,38.6,21.1,7.3,16.9,43.2,2.3,6.1,38.6,4.2,4.9,84.9,2.9,5.4,1,0.1,2.4,8,0,17.93
20,Antawn JamisonWSH,2005-2006,PF,82,40.1,20.5,8,18.2,44.2,1.8,4.5,39.4,2.6,3.6,73.1,9.3,1.9,1.1,0.1,1.7,35,0,17.78
21,Pau GasolMEM,2005-2006,PF,80,39.2,20.4,7.5,14.9,50.3,0,0.2,25,5.3,7.7,68.9,8.9,4.6,0.6,1.9,2.9,33,1,22.76
22,Mike JamesTOR,2005-2006,PG,79,37,20.3,7.3,15.5,46.9,2.1,4.8,44.2,3.6,4.3,83.7,3.3,5.8,0.9,0,2.6,11,0,19.88
23,Chris WebberPHI,2005-2006,C,75,38.6,20.2,8.2,19,43.4,0.3,1,27.3,3.5,4.6,75.6,9.9,3.4,1.4,0.8,2.4,38,0,18.47
24,Joe JohnsonATL,2005-2006,G,82,40.7,20.2,7.7,17,45.3,1.6,4.4,35.6,3.2,4,79.1,4.1,6.5,1.3,0.4,3.3,13,1,17.95
25,Richard HamiltonDET,2005-2006,SG,80,35.3,20.1,8.1,16.5,49.1,0.7,1.5,45.8,3.2,3.8,84.5,3.2,3.4,0.7,0.2,2.2,0,0,18.25
26,Rashard LewisSEA,2005-2006,PF,78,36.9,20.1,6.9,14.8,46.7,1.8,4.7,38.4,4.5,5.5,81.8,5,2.3,1.3,0.6,1.8,5,0,20.04
27,Jermaine O'NealIND,2005-2006,C,51,35.3,20.1,7.5,15.8,47.2,0.1,0.2,30,5.1,7.2,70.9,9.3,2.6,0.5,2.3,3,19,0,20.5
28,Shaquille O'NealMIA,2005-2006,C,59,30.6,20,8.1,13.6,60,0,0,0,3.7,8,46.9,9.2,1.9,0.4,1.8,2.8,24,1,24.47
